id,date,nickname,persona,business,category,title,content
1,2025-08-24,user_001,신입(도전자형),네일샵,일단트레이닝,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 처음이라 서툴지만 기본을 지키려 합니다. 처음이라 서툴지만 기본을 지키려 합니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 홈살롱과 팝업 중 어디로 먼저 갈까요? 고객 피드백을 받아 적고 있습니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
2,2025-08-08,user_001,신입(도전자형),네일샵,일단컬럼,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 사진의 질과 위생 감도가 핵심임을 느꼈습니다. 8월 예약 11건, 재방문 의사 6건. 고객 피드백을 받아 적고 있습니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 예약-방문-후기 흐름 단순화가 필요합니다. 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
3,2025-08-20,user_001,신입(도전자형),네일샵,일단트레이닝,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 8월 예약 11건, 재방문 의사 6건. 예약-방문-후기 흐름 단순화가 필요합니다. 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 지인 위주 한계를 절감했습니다. 처음이라 서툴지만 기본을 지키려 합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
4,2025-08-02,user_001,신입(도전자형),네일샵,일단후기,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 다음 방문 이유 문구가 더 중요합니다. 지인 위주 한계를 절감했습니다. 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 8월 예약 11건, 재방문 의사 6건. 처음이라 서툴지만 기본을 지키려 합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
5,2025-08-18,user_001,신입(도전자형),네일샵,일단후기,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 고객 피드백을 받아 적고 있습니다. 다음 방문 이유 문구가 더 중요합니다. 처음이라 서툴지만 기본을 지키려 합니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 지인 위주 한계를 절감했습니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
6,2025-08-07,user_002,충성(로열형),독서실,일단컬럼,,"(2025년 8월, 독서실) 이번 달 실행과 데이터를 공유합니다. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 작년 실패를 인정하고 원인을 재정리합니다. 앱 설문 회수율 40% 목표. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 이탈률 28% 원인 확인. 학습은 공간이 아니라 관리가 만듭니다. MVP로 작게 시작하세요. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
7,2025-08-05,user_002,충성(로열형),독서실,일단후기,,"(2025년 8월, 독서실) 이번 달 실행과 데이터를 공유합니다. 작은 신호를 놓친 게 치명적이었습니다. 앱 설문 회수율 40% 목표. 학습은 공간이 아니라 관리가 만듭니다. MVP로 작게 시작하세요. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 시설보다 운영 기준이 먼저였어야 했습니다. 작년 실패를 인정하고 원인을 재정리합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
8,2025-08-31,user_002,충성(로열형),독서실,일단트레이닝,,"(2025년 8월, 독서실) 이번 달 실행과 데이터를 공유합니다. 학습은 공간이 아니라 관리가 만듭니다. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. MVP로 작게 시작하세요. 작년 실패를 인정하고 원인을 재정리합니다. 학습은 공간이 아니라 관리가 만듭니다. 작은 신호를 놓친 게 치명적이었습니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
9,2025-08-01,user_002,충성(로열형),독서실,일단인사,,"(2025년 8월, 독서실) 이번 달 실행과 데이터를 공유합니다. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 이탈률 28% 원인 확인. MVP로 작게 시작하세요. 시설보다 운영 기준이 먼저였어야 했습니다. MVP로 작게 시작하세요. 시설보다 운영 기준이 먼저였어야 했습니다. MVP로 작게 시작하세요. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
10,2025-08-09,user_002,충성(로열형),독서실,일단컬럼,,"(2025년 8월, 독서실) 이번 달 실행과 데이터를 공유합니다. MVP로 작게 시작하세요. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 신고-조치-보상 SLA 명문화가 신뢰를 만듭니다. 앱 설문 회수율 40% 목표. 작년 실패를 인정하고 원인을 재정리합니다. 작년 실패를 인정하고 원인을 재정리합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
